Provinces;Population;Sex;Age;Year;Total
33 Asturias;TOTAL;Hombres;70-74 años;2019;27.968
33 Asturias;TOTAL;Hombres;75-79 años;2019;18.210
33 Asturias;TOTAL;Hombres;80-84 años;2019;15.489
33 Asturias;TOTAL;Hombres;85-89 años;2019;10.852
33 Asturias;TOTAL;Hombres;90-94 años;2019;3.863
33 Asturias;TOTAL;Hombres;95-99 años;2019;769
33 Asturias;TOTAL;Hombres;100 años y más;2019;103
05 Ávila;TOTAL;Hombres;0-4 años;2019;2.748
05 Ávila;TOTAL;Hombres;5-9 años;2019;3.373
05 Ávila;TOTAL;Hombres;10-14 años;2019;3.602
05 Ávila;TOTAL;Hombres;15-19 años;2019;3.483
05 Ávila;TOTAL;Hombres;20-24 años;2019;3.681
05 Ávila;TOTAL;Hombres;25-29 años;2019;3.834
05 Ávila;TOTAL;Hombres;30-34 años;2019;4.161
05 Ávila;TOTAL;Hombres;35-39 años;2019;4.802
05 Ávila;TOTAL;Hombres;40-44 años;2019;5.935
05 Ávila;TOTAL;Hombres;45-49 años;2019;5.954
05 Ávila;TOTAL;Hombres;50-54 años;2019;6.261
05 Ávila;TOTAL;Hombres;55-59 años;2019;6.653
05 Ávila;TOTAL;Hombres;60-64 años;2019;5.743
05 Ávila;TOTAL;Hombres;65-69 años;2019;4.822
05 Ávila;TOTAL;Hombres;70-74 años;2019;4.288
05 Ávila;TOTAL;Hombres;75-79 años;2019;3.265
05 Ávila;TOTAL;Hombres;80-84 años;2019;3.010
05 Ávila;TOTAL;Hombres;85-89 años;2019;2.261
05 Ávila;TOTAL;Hombres;90-94 años;2019;947
05 Ávila;TOTAL;Hombres;95-99 años;2019;225
05 Ávila;TOTAL;Hombres;100 años y más;2019;23
06 Badajoz;TOTAL;Hombres;0-4 años;2019;14.795
06 Badajoz;TOTAL;Hombres;5-9 años;2019;16.882
06 Badajoz;TOTAL;Hombres;10-14 años;2019;17.823
06 Badajoz;TOTAL;Hombres;15-19 años;2019;17.706
06 Badajoz;TOTAL;Hombres;20-24 años;2019;18.514
06 Badajoz;TOTAL;Hombres;25-29 años;2019;20.489
06 Badajoz;TOTAL;Hombres;30-34 años;2019;21.479
06 Badajoz;TOTAL;Hombres;35-39 años;2019;23.696
06 Badajoz;TOTAL;Hombres;40-44 años;2019;25.705
06 Badajoz;TOTAL;Hombres;45-49 años;2019;26.306
06 Badajoz;TOTAL;Hombres;50-54 años;2019;26.922
06 Badajoz;TOTAL;Hombres;55-59 años;2019;25.373
06 Badajoz;TOTAL;Hombres;60-64 años;2019;20.112
06 Badajoz;TOTAL;Hombres;65-69 años;2019;16.470
06 Badajoz;TOTAL;Hombres;70-74 años;2019;14.469
06 Badajoz;TOTAL;Hombres;75-79 años;2019;10.108
06 Badajoz;TOTAL;Hombres;80-84 años;2019;8.576
06 Badajoz;TOTAL;Hombres;85-89 años;2019;5.474
06 Badajoz;TOTAL;Hombres;90-94 años;2019;1.861
06 Badajoz;TOTAL;Hombres;95-99 años;2019;323
06 Badajoz;TOTAL;Hombres;100 años y más;2019;29
08 Barcelona;TOTAL;Hombres;0-4 años;2019;131.088
08 Barcelona;TOTAL;Hombres;5-9 años;2019;150.599
08 Barcelona;TOTAL;Hombres;10-14 años;2019;158.323
08 Barcelona;TOTAL;Hombres;15-19 años;2019;146.915
08 Barcelona;TOTAL;Hombres;20-24 años;2019;143.849
08 Barcelona;TOTAL;Hombres;25-29 años;2019;161.074
08 Barcelona;TOTAL;Hombres;30-34 años;2019;176.600
08 Barcelona;TOTAL;Hombres;35-39 años;2019;215.549
08 Barcelona;TOTAL;Hombres;40-44 años;2019;255.179
08 Barcelona;TOTAL;Hombres;45-49 años;2019;234.650
08 Barcelona;TOTAL;Hombres;50-54 años;2019;209.324
08 Barcelona;TOTAL;Hombres;55-59 años;2019;175.814
08 Barcelona;TOTAL;Hombres;60-64 años;2019;151.882
08 Barcelona;TOTAL;Hombres;65-69 años;2019;130.330
08 Barcelona;TOTAL;Hombres;70-74 años;2019;117.595
08 Barcelona;TOTAL;Hombres;75-79 años;2019;82.740
08 Barcelona;TOTAL;Hombres;80-84 años;2019;63.773
08 Barcelona;TOTAL;Hombres;85-89 años;2019;40.062
08 Barcelona;TOTAL;Hombres;90-94 años;2019;14.343
08 Barcelona;TOTAL;Hombres;95-99 años;2019;2.712
08 Barcelona;TOTAL;Hombres;100 años y más;2019;288
48 Bizkaia;TOTAL;Hombres;0-4 años;2019;23.157
48 Bizkaia;TOTAL;Hombres;5-9 años;2019;26.773
48 Bizkaia;TOTAL;Hombres;10-14 años;2019;27.612
48 Bizkaia;TOTAL;Hombres;15-19 años;2019;26.518
48 Bizkaia;TOTAL;Hombres;20-24 años;2019;24.488
48 Bizkaia;TOTAL;Hombres;25-29 años;2019;26.261
48 Bizkaia;TOTAL;Hombres;30-34 años;2019;30.976
48 Bizkaia;TOTAL;Hombres;35-39 años;2019;39.587
48 Bizkaia;TOTAL;Hombres;40-44 años;2019;48.151
48 Bizkaia;TOTAL;Hombres;45-49 años;2019;46.944
48 Bizkaia;TOTAL;Hombres;50-54 años;2019;45.527
48 Bizkaia;TOTAL;Hombres;55-59 años;2019;42.723
48 Bizkaia;TOTAL;Hombres;60-64 años;2019;37.760
48 Bizkaia;TOTAL;Hombres;65-69 años;2019;31.771
48 Bizkaia;TOTAL;Hombres;70-74 años;2019;27.885
48 Bizkaia;TOTAL;Hombres;75-79 años;2019;19.566
48 Bizkaia;TOTAL;Hombres;80-84 años;2019;15.671
48 Bizkaia;TOTAL;Hombres;85-89 años;2019;10.587
48 Bizkaia;TOTAL;Hombres;90-94 años;2019;3.591
48 Bizkaia;TOTAL;Hombres;95-99 años;2019;615
48 Bizkaia;TOTAL;Hombres;100 años y más;2019;49
09 Burgos;TOTAL;Hombres;0-4 años;2019;6.829
09 Burgos;TOTAL;Hombres;5-9 años;2019;8.319
09 Burgos;TOTAL;Hombres;10-14 años;2019;8.456
09 Burgos;TOTAL;Hombres;15-19 años;2019;8.111
09 Burgos;TOTAL;Hombres;20-24 años;2019;7.944
09 Burgos;TOTAL;Hombres;25-29 años;2019;8.546
09 Burgos;TOTAL;Hombres;30-34 años;2019;9.756
09 Burgos;TOTAL;Hombres;35-39 años;2019;11.865
09 Burgos;TOTAL;Hombres;40-44 años;2019;14.414
09 Burgos;TOTAL;Hombres;45-49 años;2019;14.458
09 Burgos;TOTAL;Hombres;50-54 años;2019;14.271
09 Burgos;TOTAL;Hombres;55-59 años;2019;14.188
09 Burgos;TOTAL;Hombres;60-64 años;2019;12.780
09 Burgos;TOTAL;Hombres;65-69 años;2019;10.970
09 Burgos;TOTAL;Hombres;70-74 años;2019;9.219
09 Burgos;TOTAL;Hombres;75-79 años;2019;6.793
09 Burgos;TOTAL;Hombres;80-84 años;2019;5.316
09 Burgos;TOTAL;Hombres;85-89 años;2019;3.958
09 Burgos;TOTAL;Hombres;90-94 años;2019;1.626
09 Burgos;TOTAL;Hombres;95-99 años;2019;378
09 Burgos;TOTAL;Hombres;100 años y más;2019;33
10 Cáceres;TOTAL;Hombres;0-4 años;2019;6.953
10 Cáceres;TOTAL;Hombres;5-9 años;2019;8.454
10 Cáceres;TOTAL;Hombres;10-14 años;2019;9.363
10 Cáceres;TOTAL;Hombres;15-19 años;2019;9.455
10 Cáceres;TOTAL;Hombres;20-24 años;2019;9.949
10 Cáceres;TOTAL;Hombres;25-29 años;2019;10.726
10 Cáceres;TOTAL;Hombres;30-34 años;2019;11.638
10 Cáceres;TOTAL;Hombres;35-39 años;2019;13.229
10 Cáceres;TOTAL;Hombres;40-44 años;2019;14.225
10 Cáceres;TOTAL;Hombres;45-49 años;2019;15.026
10 Cáceres;TOTAL;Hombres;50-54 años;2019;16.414
10 Cáceres;TOTAL;Hombres;55-59 años;2019;16.631
10 Cáceres;TOTAL;Hombres;60-64 años;2019;13.619
10 Cáceres;TOTAL;Hombres;65-69 años;2019;10.925
10 Cáceres;TOTAL;Hombres;70-74 años;2019;9.021
10 Cáceres;TOTAL;Hombres;75-79 años;2019;7.145
10 Cáceres;TOTAL;Hombres;80-84 años;2019;6.154
10 Cáceres;TOTAL;Hombres;85-89 años;2019;4.399
10 Cáceres;TOTAL;Hombres;90-94 años;2019;1.626
10 Cáceres;TOTAL;Hombres;95-99 años;2019;378
10 Cáceres;TOTAL;Hombres;100 años y más;2019;58
11 Cádiz;TOTAL;Hombres;0-4 años;2019;29.074
11 Cádiz;TOTAL;Hombres;5-9 años;2019;34.051
11 Cádiz;TOTAL;Hombres;10-14 años;2019;38.787
11 Cádiz;TOTAL;Hombres;15-19 años;2019;34.917
11 Cádiz;TOTAL;Hombres;20-24 años;2019;32.848
11 Cádiz;TOTAL;Hombres;25-29 años;2019;35.763
11 Cádiz;TOTAL;Hombres;30-34 años;2019;38.662
11 Cádiz;TOTAL;Hombres;35-39 años;2019;46.600
11 Cádiz;TOTAL;Hombres;40-44 años;2019;52.494
11 Cádiz;TOTAL;Hombres;45-49 años;2019;51.056
11 Cádiz;TOTAL;Hombres;50-54 años;2019;49.155
11 Cádiz;TOTAL;Hombres;55-59 años;2019;42.836
11 Cádiz;TOTAL;Hombres;60-64 años;2019;35.855
11 Cádiz;TOTAL;Hombres;65-69 años;2019;29.097
11 Cádiz;TOTAL;Hombres;70-74 años;2019;24.581
11 Cádiz;TOTAL;Hombres;75-79 años;2019;16.873
11 Cádiz;TOTAL;Hombres;80-84 años;2019;10.880
11 Cádiz;TOTAL;Hombres;85-89 años;2019;6.172
11 Cádiz;TOTAL;Hombres;90-94 años;2019;1.754
11 Cádiz;TOTAL;Hombres;95-99 años;2019;284
11 Cádiz;TOTAL;Hombres;100 años y más;2019;52
39 Cantabria;TOTAL;Hombres;0-4 años;2019;10.997
39 Cantabria;TOTAL;Hombres;5-9 años;2019;13.946
39 Cantabria;TOTAL;Hombres;10-14 años;2019;14.498
39 Cantabria;TOTAL;Hombres;15-19 años;2019;13.167
39 Cantabria;TOTAL;Hombres;20-24 años;2019;12.357
39 Cantabria;TOTAL;Hombres;25-29 años;2019;13.444
39 Cantabria;TOTAL;Hombres;30-34 años;2019;15.802
39 Cantabria;TOTAL;Hombres;35-39 años;2019;21.091
39 Cantabria;TOTAL;Hombres;40-44 años;2019;25.033
39 Cantabria;TOTAL;Hombres;45-49 años;2019;23.553
39 Cantabria;TOTAL;Hombres;50-54 años;2019;22.644
39 Cantabria;TOTAL;Hombres;55-59 años;2019;21.438
39 Cantabria;TOTAL;Hombres;60-64 años;2019;19.799
39 Cantabria;TOTAL;Hombres;65-69 años;2019;16.581
39 Cantabria;TOTAL;Hombres;70-74 años;2019;13.696
39 Cantabria;TOTAL;Hombres;75-79 años;2019;9.003
39 Cantabria;TOTAL;Hombres;80-84 años;2019;7.506
39 Cantabria;TOTAL;Hombres;85-89 años;2019;5.024
39 Cantabria;TOTAL;Hombres;90-94 años;2019;1.814
39 Cantabria;TOTAL;Hombres;95-99 años;2019;362
39 Cantabria;TOTAL;Hombres;100 años y más;2019;46
12 Castellón/Castelló;TOTAL;Hombres;0-4 años;2019;13.176
12 Castellón/Castelló;TOTAL;Hombres;5-9 años;2019;15.326
12 Castellón/Castelló;TOTAL;Hombres;10-14 años;2019;16.424
12 Castellón/Castelló;TOTAL;Hombres;15-19 años;2019;14.887
12 Castellón/Castelló;TOTAL;Hombres;20-24 años;2019;14.446
12 Castellón/Castelló;TOTAL;Hombres;25-29 años;2019;15.003
12 Castellón/Castelló;TOTAL;Hombres;30-34 años;2019;16.786
12 Castellón/Castelló;TOTAL;Hombres;35-39 años;2019;21.636
12 Castellón/Castelló;TOTAL;Hombres;40-44 años;2019;26.273
12 Castellón/Castelló;TOTAL;Hombres;45-49 años;2019;24.561
12 Castellón/Castelló;TOTAL;Hombres;50-54 años;2019;23.100
12 Castellón/Castelló;TOTAL;Hombres;55-59 años;2019;20.168
12 Castellón/Castelló;TOTAL;Hombres;60-64 años;2019;16.851
12 Castellón/Castelló;TOTAL;Hombres;65-69 años;2019;14.337
12 Castellón/Castelló;TOTAL;Hombres;70-74 años;2019;12.808
12 Castellón/Castelló;TOTAL;Hombres;75-79 años;2019;9.092
12 Castellón/Castelló;TOTAL;Hombres;80-84 años;2019;6.861
12 Castellón/Castelló;TOTAL;Hombres;85-89 años;2019;4.461
12 Castellón/Castelló;TOTAL;Hombres;90-94 años;2019;1.577
12 Castellón/Castelló;TOTAL;Hombres;95-99 años;2019;272
12 Castellón/Castelló;TOTAL;Hombres;100 años y más;2019;32
13 Ciudad Real;TOTAL;Hombres;0-4 años;2019;10.469
13 Ciudad Real;TOTAL;Hombres;5-9 años;2019;12.305
13 Ciudad Real;TOTAL;Hombres;10-14 años;2019;13.296
13 Ciudad Real;TOTAL;Hombres;15-19 años;2019;12.774
13 Ciudad Real;TOTAL;Hombres;20-24 años;2019;13.901
13 Ciudad Real;TOTAL;Hombres;25-29 años;2019;14.874
13 Ciudad Real;TOTAL;Hombres;30-34 años;2019;15.488
13 Ciudad Real;TOTAL;Hombres;35-39 años;2019;17.687
13 Ciudad Real;TOTAL;Hombres;40-44 años;2019;19.218
13 Ciudad Real;TOTAL;Hombres;45-49 años;2019;18.763
13 Ciudad Real;TOTAL;Hombres;50-54 años;2019;19.894
13 Ciudad Real;TOTAL;Hombres;55-59 años;2019;18.527
13 Ciudad Real;TOTAL;Hombres;60-64 años;2019;14.504
13 Ciudad Real;TOTAL;Hombres;65-69 años;2019;11.867
13 Ciudad Real;TOTAL;Hombres;70-74 años;2019;10.119
13 Ciudad Real;TOTAL;Hombres;75-79 años;2019;7.655
13 Ciudad Real;TOTAL;Hombres;80-84 años;2019;6.507
13 Ciudad Real;TOTAL;Hombres;85-89 años;2019;4.875
13 Ciudad Real;TOTAL;Hombres;90-94 años;2019;1.775
13 Ciudad Real;TOTAL;Hombres;95-99 años;2019;348
13 Ciudad Real;TOTAL;Hombres;100 años y más;2019;31
14 Córdoba;TOTAL;Hombres;0-4 años;2019;17.142
14 Córdoba;TOTAL;Hombres;5-9 años;2019;19.810
14 Córdoba;TOTAL;Hombres;10-14 años;2019;22.000
14 Córdoba;TOTAL;Hombres;15-19 años;2019;21.373
14 Córdoba;TOTAL;Hombres;20-24 años;2019;21.956
14 Córdoba;TOTAL;Hombres;25-29 años;2019;23.923
14 Córdoba;TOTAL;Hombres;30-34 años;2019;24.277
14 Córdoba;TOTAL;Hombres;35-39 años;2019;27.308
14 Córdoba;TOTAL;Hombres;40-44 años;2019;29.777
14 Córdoba;TOTAL;Hombres;45-49 años;2019;29.322
14 Córdoba;TOTAL;Hombres;50-54 años;2019;30.983
14 Córdoba;TOTAL;Hombres;55-59 años;2019;28.478
14 Córdoba;TOTAL;Hombres;60-64 años;2019;23.387
14 Córdoba;TOTAL;Hombres;65-69 años;2019;18.188
14 Córdoba;TOTAL;Hombres;70-74 años;2019;15.725
14 Córdoba;TOTAL;Hombres;75-79 años;2019;11.760
14 Córdoba;TOTAL;Hombres;80-84 años;2019;9.352
14 Córdoba;TOTAL;Hombres;85-89 años;2019;6.322
14 Córdoba;TOTAL;Hombres;90-94 años;2019;2.222
14 Córdoba;TOTAL;Hombres;95-99 años;2019;423
14 Córdoba;TOTAL;Hombres;100 años y más;2019;62
15 Coruña, A;TOTAL;Hombres;0-4 años;2019;20.970
15 Coruña, A;TOTAL;Hombres;5-9 años;2019;24.133
15 Coruña, A;TOTAL;Hombres;10-14 años;2019;24.780
15 Coruña, A;TOTAL;Hombres;15-19 años;2019;22.880
15 Coruña, A;TOTAL;Hombres;20-24 años;2019;22.564
15 Coruña, A;TOTAL;Hombres;25-29 años;2019;25.566
15 Coruña, A;TOTAL;Hombres;30-34 años;2019;30.193
15 Coruña, A;TOTAL;Hombres;35-39 años;2019;40.239
15 Coruña, A;TOTAL;Hombres;40-44 años;2019;47.524
15 Coruña, A;TOTAL;Hombres;45-49 años;2019;44.602
15 Coruña, A;TOTAL;Hombres;50-54 años;2019;41.846
15 Coruña, A;TOTAL;Hombres;55-59 años;2019;39.289
15 Coruña, A;TOTAL;Hombres;60-64 años;2019;35.455
15 Coruña, A;TOTAL;Hombres;65-69 años;2019;31.917
15 Coruña, A;TOTAL;Hombres;70-74 años;2019;29.647
15 Coruña, A;TOTAL;Hombres;75-79 años;2019;21.754
15 Coruña, A;TOTAL;Hombres;80-84 años;2019;17.415
15 Coruña, A;TOTAL;Hombres;85-89 años;2019;11.020
15 Coruña, A;TOTAL;Hombres;90-94 años;2019;3.806
15 Coruña, A;TOTAL;Hombres;95-99 años;2019;771
15 Coruña, A;TOTAL;Hombres;100 años y más;2019;99
16 Cuenca;TOTAL;Hombres;0-4 años;2019;3.552
16 Cuenca;TOTAL;Hombres;5-9 años;2019;4.176
16 Cuenca;TOTAL;Hombres;10-14 años;2019;4.618
16 Cuenca;TOTAL;Hombres;15-19 años;2019;4.969
16 Cuenca;TOTAL;Hombres;20-24 años;2019;5.060
16 Cuenca;TOTAL;Hombres;25-29 años;2019;5.745
16 Cuenca;TOTAL;Hombres;30-34 años;2019;5.833
16 Cuenca;TOTAL;Hombres;35-39 años;2019;6.730
16 Cuenca;TOTAL;Hombres;40-44 años;2019;7.485
16 Cuenca;TOTAL;Hombres;45-49 años;2019;7.507
16 Cuenca;TOTAL;Hombres;50-54 años;2019;8.140
16 Cuenca;TOTAL;Hombres;55-59 años;2019;8.002
16 Cuenca;TOTAL;Hombres;60-64 años;2019;6.110
16 Cuenca;TOTAL;Hombres;65-69 años;2019;5.021
16 Cuenca;TOTAL;Hombres;70-74 años;2019;4.373
16 Cuenca;TOTAL;Hombres;75-79 años;2019;3.618
16 Cuenca;TOTAL;Hombres;80-84 años;2019;3.595
16 Cuenca;TOTAL;Hombres;85-89 años;2019;2.742
16 Cuenca;TOTAL;Hombres;90-94 años;2019;1.030
16 Cuenca;TOTAL;Hombres;95-99 años;2019;216
16 Cuenca;TOTAL;Hombres;100 años y más;2019;20
20 Gipuzkoa;TOTAL;Hombres;0-4 años;2019;15.564
20 Gipuzkoa;TOTAL;Hombres;5-9 años;2019;18.647
20 Gipuzkoa;TOTAL;Hombres;10-14 años;2019;19.215
20 Gipuzkoa;TOTAL;Hombres;15-19 años;2019;17.958
20 Gipuzkoa;TOTAL;Hombres;20-24 años;2019;17.014
20 Gipuzkoa;TOTAL;Hombres;25-29 años;2019;16.912
20 Gipuzkoa;TOTAL;Hombres;30-34 años;2019;18.965
20 Gipuzkoa;TOTAL;Hombres;35-39 años;2019;23.867
20 Gipuzkoa;TOTAL;Hombres;40-44 años;2019;30.314
20 Gipuzkoa;TOTAL;Hombres;45-49 años;2019;29.568
20 Gipuzkoa;TOTAL;Hombres;50-54 años;2019;28.027
20 Gipuzkoa;TOTAL;Hombres;55-59 años;2019;25.696
20 Gipuzkoa;TOTAL;Hombres;60-64 años;2019;22.856
20 Gipuzkoa;TOTAL;Hombres;65-69 años;2019;20.095
20 Gipuzkoa;TOTAL;Hombres;70-74 años;2019;18.446
20 Gipuzkoa;TOTAL;Hombres;75-79 años;2019;12.442
20 Gipuzkoa;TOTAL;Hombres;80-84 años;2019;9.477
20 Gipuzkoa;TOTAL;Hombres;85-89 años;2019;5.954
20 Gipuzkoa;TOTAL;Hombres;90-94 años;2019;1.965
20 Gipuzkoa;TOTAL;Hombres;95-99 años;2019;349
20 Gipuzkoa;TOTAL;Hombres;100 años y más;2019;32
17 Girona;TOTAL;Hombres;0-4 años;2019;19.087
17 Girona;TOTAL;Hombres;5-9 años;2019;22.175
17 Girona;TOTAL;Hombres;10-14 años;2019;22.656
17 Girona;TOTAL;Hombres;15-19 años;2019;20.992
17 Girona;TOTAL;Hombres;20-24 años;2019;20.709
17 Girona;TOTAL;Hombres;25-29 años;2019;21.544
17 Girona;TOTAL;Hombres;30-34 años;2019;23.368
17 Girona;TOTAL;Hombres;35-39 años;2019;29.531
17 Girona;TOTAL;Hombres;40-44 años;2019;34.475
17 Girona;TOTAL;Hombres;45-49 años;2019;31.874
17 Girona;TOTAL;Hombres;50-54 años;2019;29.391
17 Girona;TOTAL;Hombres;55-59 años;2019;25.883
17 Girona;TOTAL;Hombres;60-64 años;2019;22.310
17 Girona;TOTAL;Hombres;65-69 años;2019;18.701
17 Girona;TOTAL;Hombres;70-74 años;2019;15.918
17 Girona;TOTAL;Hombres;75-79 años;2019;10.734
17 Girona;TOTAL;Hombres;80-84 años;2019;8.097
17 Girona;TOTAL;Hombres;85-89 años;2019;5.439
17 Girona;TOTAL;Hombres;90-94 años;2019;1.993
17 Girona;TOTAL;Hombres;95-99 años;2019;356
17 Girona;TOTAL;Hombres;100 años y más;2019;65
18 Granada;TOTAL;Hombres;0-4 años;2019;20.479
18 Granada;TOTAL;Hombres;5-9 años;2019;23.555
18 Granada;TOTAL;Hombres;10-14 años;2019;26.497
18 Granada;TOTAL;Hombres;15-19 años;2019;25.012
18 Granada;TOTAL;Hombres;20-24 años;2019;25.625
18 Granada;TOTAL;Hombres;25-29 años;2019;28.116
18 Granada;TOTAL;Hombres;30-34 años;2019;29.137
18 Granada;TOTAL;Hombres;35-39 años;2019;34.062
18 Granada;TOTAL;Hombres;40-44 años;2019;37.159
18 Granada;TOTAL;Hombres;45-49 años;2019;35.358
18 Granada;TOTAL;Hombres;50-54 años;2019;35.982
18 Granada;TOTAL;Hombres;55-59 años;2019;31.757
18 Granada;TOTAL;Hombres;60-64 años;2019;26.537
